classe,imagem,mse,psnr,brisque
glioma,gl-0001.jpg,6633.3177,9.9135,42.2151
glioma,gl-0002.jpg,6936.1213,9.7196,37.1313
glioma,gl-0003.jpg,8613.8562,8.7788,29.6592
glioma,gl-0004.jpg,9283.68,8.4536,49.5635
glioma,gl-0005.jpg,10933.7418,7.7431,35.0101
glioma,gl-0006.jpg,7131.9883,9.5987,36.3559
glioma,gl-0007.jpg,6978.4803,9.6932,26.9505
glioma,gl-0008.jpg,7876.1252,9.1677,47.7588
glioma,gl-0009.jpg,9335.116,8.4296,37.7351
glioma,gl-0010.jpg,11163.088,7.653,36.447
glioma,gl-0011.jpg,8455.4118,8.8595,50.7394
glioma,gl-0012.jpg,5097.6671,11.0571,13.619
glioma,gl-0013.jpg,9002.3218,8.5873,40.1865
glioma,gl-0014.jpg,6268.8139,10.1589,28.2852
glioma,gl-0015.jpg,6079.1127,10.2924,30.3747
glioma,gl-0016.jpg,9840.4876,8.2006,32.1119
glioma,gl-0017.jpg,9059.8289,8.5596,19.6402
glioma,gl-0018.jpg,7070.4244,9.6363,44.0907
glioma,gl-0019.jpg,10093.6862,8.0903,37.1808
glioma,gl-0020.jpg,6055.5235,10.3093,28.7278
glioma,gl-0021.jpg,7357.3512,9.4636,45.3088
glioma,gl-0022.jpg,9170.4211,8.5069,21.8306
glioma,gl-0023.jpg,6051.7209,10.312,30.6762
glioma,gl-0024.jpg,6832.1133,9.7853,46.4424
glioma,gl-0025.jpg,7605.0602,9.3198,51.7902
glioma,gl-0026.jpg,5941.4085,10.3919,33.7256
glioma,gl-0027.jpg,7069.7082,9.6368,41.9871
glioma,gl-0028.jpg,6588.7159,9.9428,47.0043
glioma,gl-0029.jpg,5794.0012,10.501,47.9573
glioma,gl-0030.jpg,6184.9069,10.2175,22.7692
glioma,gl-0031.jpg,5703.1047,10.5697,30.1982
glioma,gl-0032.jpg,8594.4403,8.7886,17.0857
glioma,gl-0033.jpg,6507.1026,9.9969,34.6832
glioma,gl-0034.jpg,7635.7784,9.3023,18.722
glioma,gl-0035.jpg,6896.7982,9.7443,57.102
glioma,gl-0036.jpg,13280.696,6.8986,60.1069
glioma,gl-0037.jpg,6861.4461,9.7666,44.8399
glioma,gl-0038.jpg,10715.4142,7.8307,17.1517
glioma,gl-0039.jpg,8748.2631,8.7116,52.0158
glioma,gl-0040.jpg,7268.7195,9.5162,14.0688
glioma,gl-0041.jpg,6490.3615,10.0081,52.7675
glioma,gl-0042.jpg,10247.1494,8.0248,30.1358
glioma,gl-0043.jpg,7380.8647,9.4497,25.0453
glioma,gl-0044.jpg,7413.2501,9.4307,51.783
glioma,gl-0045.jpg,7812.8572,9.2027,17.5309
